,Acanthopleuribacter,Acaryochloris,Actinomarinicola,Aequorivita,Aeromonas,Agaribacterium,Agarilytica,Agarivorans,Aggregatilinea,Alcanivorax,Algoriphagus,Aliikangiella,Amphritea,Amylibacter,Aquimarina,Arenibacter,Arenicella,Aureicoccus,Aureisphaera,Aureispira,Aureivirga,Balneola,Bifidobacterium,Burkholderia,Buttiauxella,Candidatus Pelagibacter,Catenococcus,Cellvibrio,Cetobacterium,Chromohalobacter,Cobetia,Cohaesibacter,Corynebacterium,Croceivirga,Curvibacter,Dokdonia,Endozoicomonas,Enterovibrio,Euzebya,Ferrimonas,Flavilitoribacter,Flavobacterium,Fulvivirga,Geminicoccus,Gemmobacter,Hahella,Halioglobus,Halomonas,Hyunsoonleella,Ilumatobacter,Ilyobacter,Kiloniella,Kordia,Leucothrix,Lewinella,Limimaricola,Litoricola,Lutibacter,Lutimonas,Maribacter,Marinimicrobium,Marinobacterium,Marinomonas,Marinoscillum,Microbulbifer,Muricauda,Muriicola,Mycobacterium,Nisaea,Nocardioides,Nonlabens,Oceanispirochaeta,Olleya,Paenibacillus,Paracoccus,Paraglaciecola,Parvularcula,Pedobacter,Photobacterium,Pigmentiphaga,Prochlorococcus,Pseudidiomarina,Pseudoalteromonas,Pseudobacteriovorax,Pseudomonas,Pseudovibrio,Psychromonas,Reichenbachiella,Robiginitalea,Roseibium,Roseivirga,Roseomonas,Seonamhaeicola,Simiduia,Sphingobacterium,Sphingobium,Spongiibacter,Staphylococcus,Tenacibaculum,Terasakiella,Thalassotalea,Thaumasiovibrio,Umboniibacter,Vibrio,Wenyingzhuangia,Winogradskyella,Yersinia,Acetivibrio,Achromobacter,Acidaminococcus,Acidovorax,Actibacter,Actinoallomurus,Acutalibacter,Adlercreutzia,Aerococcus,Aeromicrobium,Aetherobacter,Agathobaculum,Akkermansia,Albibacterium,Algisphaera,Aliagarivorans,Aliarcobacter,Alistipes,Alkalibacterium,Alterococcus,Alteromonas,Anaeroplasma,Anaerotignum,Anaerotruncus,Aneurinibacillus,Aquisalinus,Ascidiimonas,Asticcacaulis,Bacterioplanes,Bacteroides,Bermanella,Blautia,Brevibacillus,Butyricimonas,Bythopirellula,Candidatus Kuenenia,Carnobacterium,Caulobacter,Cellulosilyticum,Cerasicoccus,Chryseobacterium,Chryseomicrobium,Collinsella,Coraliomargarita,Corallomonas,Cutibacterium,Daejeonella,Deinobacterium,Delftia,Desemzia,Desulfobacter,Desulfobulbus,Desulfoluna,Desulfosarcina,Desulfospira,Desulfuromonas,Dietzia,Dokdonella,Domibacillus,Dubosiella,Duncaniella,Duodenibacillus,Dysgonomonas,Enterococcus,Erysipelothrix,Faecalibacterium,Faecalibaculum,Flammeovirga,Flavonifractor,Francisella,Geoalkalibacter,Gilvibacter,Gimesia,Gorillibacterium,Gramella,Grimontia,Haemophilus,Halarcobacter,Halobacillus,Halobacteriovorax,Halodesulfovibrio,Haloferula,Helicobacter,Hydrogenophaga,Idiomarina,Ignavibacterium,Ileibacterium,incertae sedis Exiguobacterium,incertae sedis Gemella,incertae sedis Intestinimonas,Janthinobacterium,Jeotgalibacillus,Kaistia,Kordiimonas,Kurthia,Lachnospira,Lacipirellula,Lactobacillus,Lactococcus,Lampropedia,Legionella,Lentisphaera,Ligilactobacillus,Limosilactobacillus,Lujinxingia,Luteolibacter,Macrococcus,Malaciobacter,Malonomonas,Mariniblastus,Marinococcus,Mariprofundus,Massilia,Massiliprevotella,Megamonas,Megasphaera,Mesonia,Methylocystis,Methylophilus,Methyloversatilis,Mitsuokella,Moheibacter,Mucispirillum,Muribaculum,Myroides,Neobacillus,Nitrosopumilus,Nitrososphaera,Nitrosospira,Nitrospira,Oceanirhabdus,Oceanobacter,Oleiharenicola,Oscillibacter,Pacificimonas,Paracnuella,Parageobacillus,Paramuribaculum,Parasutterella,Parendozoicomonas,Patulibacter,Pelagicoccus,Pelobacter,Pelolinea,Pelomonas,Pelosinus,Peribacillus,Permianibacter,Persicirhabdus,Perspicuibacter,Phascolarctobacterium,Phocaeicola,Planococcus,Plesiocystis,Pontibacillus,Prevotella,Prevotellamassilia,Propionigenium,Pseudenhygromyxa,Pseudodesulfovibrio,Puniceicoccus,Rahnella,Ralstonia,Rhodobaca,Rhodopirellula,Roseburia,Roseibacillus,Roseimaritima,Rouxiella,Rubribacterium,Rubritalea,Rubrivirga,Rubrobacter,Ruminiclostridium,Ruminococcus,Ruthenibacterium,Saccharopolyspora,Saccharospirillum,Salegentibacter,Salinimicrobium,Salinimonas,Salinivibrio,Sedimenticola,Sinorhizobium/Ensifer,Solibacillus,Spirochaeta,Spongitalea,Sporacetigenium,Stenotrophobacter,Stenotrophomonas,Streptococcus,Succinivibrio,Sulfuricaulis,Sulfurimonas,Sulfurospirillum,Sutterella,Symbiobacterium,Taibaiella,Temperatibacter,Thalassobaculum,Thiomicrorhabdus,Thiovirga,Tumebacillus,Turicimonas,Vagococcus,Vallitalea,Veillonella
GIDd,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,2,1,0,2,1,1,1,0,14,0,0,1,1,0,1,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,1,0,2,0,0,1,1,1,0,0,0,0,1,0,0,1,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,2,0,1,0,0,0,4,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0,1,0,1,2,0,0,1,0,0,1,0,3,1,0,0,0,3,1,0,0,0,1,0,5,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CDd,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,1,0,0,1,1,1,1,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,1,0,0,0,4,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,1,0,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
DPa,0,2,1,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1,1,1,0,0,4,0,0,1,1,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,2,1,0,0,1,0,2,1,0,1,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,5,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,3,2,0,0,0,2,1,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,5,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
GIPa,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,1,1,0,0,1,0,0,1,0,1,1,0,11,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,1,0,1,0,3,1,1,0,0,3,1,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
PPa,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,5,0,0,0,1,0,0,0,12,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,0,1,0,3,2,0,0,0,2,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
CPa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
DSp,0,6,2,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,3,0,0,2,1,1,1,0,10,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,3,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,6,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,5,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
GISp,0,4,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,1,1,0,0,0,3,0,0,1,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,4,2,1,0,0,2,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
PSp,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,2,0,0,1,1,1,1,0,20,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,2,1,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,1,0,0,1,1,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
CSp,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
